"isco","physical","strength","dexterity","navigation","intellectual","inforproc","uncodified","codified","literacy","business","technical","humanities","numeracy","accounting","analytic","probsolving","evaluation","infogath","conceptualisation","resolution","creativity","planning","social","serving","teaching","selling","managing","caring","autonomy","latitude","control","team","routine","repetitiv","standard","certainty","machines","ICT","ICTbasic","ICTadvanced"
"11",0.75,0.43053955,0.75,0.42440319,0.5,0.58333331,0.43241245,0.58333331,0.83333331,1,0.5,1,0.33333331,0.41666666,0.25,0.41666666,0.41666666,0.18371697,0.41666666,0.41987902,0.43494889,0.49709669,0.55416667,0.65193516,0.5,0.8125,0.34999999,0.4351626,0.5625,0.5625,0.5117479,0.75,0.2600615,0.47304997,0,0,0.126682,0.57499999,0.8125,0
"11",1,0.24229705,1,0.96818811,0.56897163,0.32550976,0.43241245,NA,0.61177725,0.75,0.5,NA,0.12940697,0.11701407,0.16666667,0.66666669,0.66666669,1,0.66666669,0.48917389,0.56153953,0.41380402,0.17754388,0.28648621,0.49845695,0.33116329,0.125,0.16852097,0.28073543,0.38887987,0.32876658,1,0.52501309,0.33157972,0.64613175,0.58084506,0.19122103,0,0,0
"11",1,0.17425086,1,0.10201249,0.69930553,0.48194444,0.12003369,0.48194444,0.50555551,0.58333331,0.34999999,0.58333331,0.45833334,0.91666669,0,0.91666669,0.91666669,0.82506609,0.91666669,0.70573771,0.91545314,0.65160877,0.59583336,0.39779478,0.375,0.8125,0.60000002,0.54871833,1,1,0.94010645,0.75,0.45952246,0.40587276,0.5,0.58362204,0.29751438,0.175,0.25,0
"11",0.057623539,0.050249305,0.50997514,0.34879467,0.42110166,0.22235958,0.188981,NA,0.48209625,0.50135744,0.15000001,NA,0.25,0.23336416,0,0.41083845,0.83333331,0.7028352,0.5000338,0.5,0.56551701,0.31160942,0.14706755,0.37068638,0.5,0.32758534,0.25319245,0.38416609,0.28292927,0.4450219,0.48322231,0.41324806,0.35497427,0.61029643,0,0.66000003,0.12939292,0.12677993,0.15668893,0.33665904
"11",0.036356386,0.0070566619,7.415943e-18,0.10201249,0.86087894,0.77563846,0.049229648,0.77563846,0.7552622,1,0.26578665,1,0.79601479,0.8812272,0.71080232,0.94611937,0.91253304,0.82506609,1,0.97970569,0.95941138,1,0.79584593,0.65687424,0.77363718,1,1,0.54871833,0.92447686,0.9585821,0.89037156,0.5,0.29698074,0.034339145,0.5,0.35660309,0.0093799103,0.77015382,1,0.33244196
"11",1,0.50015736,1,0.60269558,0.45416665,0.41800401,0.4553951,NA,0.66111112,0.75,0.48884043,NA,0.30820936,0.5,0.31938472,0.4724848,0.58333331,0.19364767,0.61231202,0.40240383,0.42849696,0.49709669,0.083333336,0.39252079,0.35014969,0.029062485,0.20739959,0.38416609,0.625,0.875,0.48322231,0.5,0.57819664,0.41264436,0.60364419,0.66000003,0.2109461,0.46875,0.875,0
"11",0.22021297,0.071335271,0.08853323,0.16197704,0.56365979,0.54282087,0.042136483,NA,0.46892294,0.74845237,0.69999999,NA,0.33333334,0.8922689,0.16666667,0.59559631,0.66396892,0.61447954,0.66666669,0.46967983,0.57401097,0.31160942,0.16666667,0.50139284,0.3692565,0.375,0.15643889,0.2047713,0.52227122,0.55308038,0.47673577,0.54120749,0.48406431,0.35135791,0.70288837,0.57353586,0.48858315,1,0.88329703,0.2124024
"11",0.19765675,0.052364822,0.53480506,0.05922896,0.59018731,0.58055556,0.042982433,NA,0.63039011,0.75341725,0.32396206,NA,0.43984976,0.44540673,0,0.52528447,0.65976214,1,0.65614605,0.52825725,0.55275023,0.31160942,0.28100446,0.63935864,0.20512095,0.48898071,0.20631029,0.25491226,0.50745851,0.37726054,0.38367602,0.62576699,0.61804533,0.5455792,0.61581647,0.42491856,0.052573126,0.49645963,1,0
"11",0.03590852,0.0057130721,7.415943e-18,0.10201249,0.85126638,0.77563846,0.049229648,0.77563846,0.7552622,1,0.26578665,1,0.79601479,0.8812272,0.71080232,0.92689437,0.87408304,0.82506609,0.92309999,0.97970569,0.95941138,1,0.79584593,0.65687424,0.77363718,1,1,0.54871833,0.91545224,0.94053292,0.89037156,1,0.60324967,0.22193299,0.69239998,0.89541602,0.0043414496,0.76929998,0.46980157,0.33244196
"11",0,0.39806482,0.61359417,0.31373465,0.18787767,0.17670247,0.21956392,NA,0.15025198,0.25694999,0,NA,0.20010693,0,0.21127324,0.25135767,0.083333336,0.034280661,0.083333336,0.42796284,0.11202793,0.29761681,0.021229731,0.26644102,0,0,0,0.53800952,0.625,0.55909818,0.5111534,0.75670695,0.26369831,0.25,0,0.33000001,0.151682,0,0.52843469,0
